offense_code,summary_code,summary_offense_type,offense_category,before_2014
766,37,Indecent Exposure,Misdemeanor,1
770,18,Other Sex Law Violations,Felony,0
770,18,Other Sex Law Violations,Felony,1
775,18,Other Sex Law Violations,Felony,0
775,18,Other Sex Law Violations,Felony,1
776,38,Annoying Child,Misdemeanor,0
776,38,Annoying Child,Misdemeanor,1
777,38,Annoying Child,Misdemeanor,1
780,18,Other Sex Law Violations,Felony,0
780,18,Other Sex Law Violations,Felony,1
781,18,Other Sex Law Violations,Felony,0
781,18,Other Sex Law Violations,Felony,1
786,39,Obscene Matter,Misdemeanor,0
786,39,Obscene Matter,Misdemeanor,1
787,39,Obscene Matter,Misdemeanor,0
787,39,Obscene Matter,Misdemeanor,1
790,18,Other Sex Law Violations,Felony,0
790,18,Other Sex Law Violations,Felony,1
791,4,Rape,Felony,1
791,18,Other Sex Law Violations,Felony,0
792,18,Other Sex Law Violations,Felony,0
792,18,Other Sex Law Violations,Felony,1
793,18,Other Sex Law Violations,Felony,0
793,18,Other Sex Law Violations,Felony,1
794,18,Other Sex Law Violations,Felony,0
794,18,Other Sex Law Violations,Felony,1
800,12,Narcotics,Felony,0
800,12,Narcotics,Felony,1
801,12,Narcotics,Felony,0
801,12,Narcotics,Felony,1
802,12,Narcotics,Felony,0
802,12,Narcotics,Felony,1
803,12,Narcotics,Felony,0
803,12,Narcotics,Felony,1
804,12,Narcotics,Felony,0
804,12,Narcotics,Felony,1
805,15,Other Drug Law Violations,Felony,0
805,15,Other Drug Law Violations,Felony,1
810,13,Marijuana,Felony,0
810,13,Marijuana,Felony,1
811,13,Marijuana,Felony,0
811,13,Marijuana,Felony,1
812,13,Marijuana,Felony,0
812,13,Marijuana,Felony,1
813,13,Marijuana,Felony,0
813,13,Marijuana,Felony,1
815,13,Marijuana,Felony,0
815,13,Marijuana,Felony,1
816,34,Marijuana,Misdemeanor,0
816,34,Marijuana,Misdemeanor,1
817,36,Other Drug Law Violations,Misdemeanor,0
817,36,Other Drug Law Violations,Misdemeanor,1
818,36,Other Drug Law Violations,Misdemeanor,0
818,36,Other Drug Law Violations,Misdemeanor,1
819,34,Marijuana,Misdemeanor,0
819,34,Marijuana,Misdemeanor,1
820,14,Dangerous Drugs,Felony,0
820,14,Dangerous Drugs,Felony,1
821,14,Dangerous Drugs,Felony,0
821,14,Dangerous Drugs,Felony,1
822,14,Dangerous Drugs,Felony,0
822,14,Dangerous Drugs,Felony,1
825,14,Dangerous Drugs,Felony,0
825,14,Dangerous Drugs,Felony,1
826,35,Dangerous Drugs,Misdemeanor,0
826,35,Dangerous Drugs,Misdemeanor,1
827,35,Dangerous Drugs,Misdemeanor,0
827,35,Dangerous Drugs,Misdemeanor,1
828,13,Marijuana,Felony,0
828,13,Marijuana,Felony,1
829,34,Marijuana,Misdemeanor,0
829,34,Marijuana,Misdemeanor,1
831,15,Other Drug Law Violations,Felony,0
831,15,Other Drug Law Violations,Felony,1
832,15,Other Drug Law Violations,Felony,0
832,15,Other Drug Law Violations,Felony,1
833,15,Other Drug Law Violations,Felony,0
833,15,Other Drug Law Violations,Felony,1
834,15,Other Drug Law Violations,Felony,0
834,15,Other Drug Law Violations,Felony,1
835,15,Other Drug Law Violations,Felony,0
835,15,Other Drug Law Violations,Felony,1
836,36,Other Drug Law Violations,Misdemeanor,0
836,36,Other Drug Law Violations,Misdemeanor,1
837,36,Other Drug Law Violations,Misdemeanor,0
837,36,Other Drug Law Violations,Misdemeanor,1
838,36,Other Drug Law Violations,Misdemeanor,0
838,36,Other Drug Law Violations,Misdemeanor,1
839,36,Other Drug Law Violations,Misdemeanor,0
839,36,Other Drug Law Violations,Misdemeanor,1
840,19,Weapons,Felony,0
840,19,Weapons,Felony,1
841,19,Weapons,Felony,0
841,19,Weapons,Felony,1
842,19,Weapons,Felony,0
842,19,Weapons,Felony,1
843,19,Weapons,Felony,0
843,19,Weapons,Felony,1
844,19,Weapons,Felony,0
844,19,Weapons,Felony,1
845,19,Weapons,Felony,0
845,19,Weapons,Felony,1
846,50,Weapons,Misdemeanor,0
846,50,Weapons,Misdemeanor,1
847,50,Weapons,Misdemeanor,0
847,50,Weapons,Misdemeanor,1
848,50,Weapons,Misdemeanor,0
848,50,Weapons,Misdemeanor,1
849,50,Weapons,Misdemeanor,0
849,50,Weapons,Misdemeanor,1
850,20,Drive Under the Influence,Felony,0
850,20,Drive Under the Influence,Felony,1
851,15,Other Drug Law Violations,Felony,0
851,15,Other Drug Law Violations,Felony,1
854,20,Drive Under the Influence,Felony,0
854,20,Drive Under the Influence,Felony,1
855,20,Drive Under the Influence,Felony,0
855,20,Drive Under the Influence,Felony,1
856,51,Drive Under the Influence,Misdemeanor,0
856,51,Drive Under the Influence,Misdemeanor,1
857,36,Other Drug Law Violations,Misdemeanor,0
857,36,Other Drug Law Violations,Misdemeanor,1
858,51,Drive Under the Influence,Misdemeanor,0
858,51,Drive Under the Influence,Misdemeanor,1
859,51,Drive Under the Influence,Misdemeanor,0
859,51,Drive Under the Influence,Misdemeanor,1
860,21,Hit and Run,Felony,0
860,21,Hit and Run,Felony,1
865,25,Felony Traffic,Felony,0
865,25,Felony Traffic,Felony,1
867,52,Hit and Run,Misdemeanor,0
867,52,Hit and Run,Misdemeanor,1
869,53,Traffic,Misdemeanor,0
869,53,Traffic,Misdemeanor,1
870,22,Escape,Felony,0
870,22,Escape,Felony,1
871,22,Escape,Felony,0
871,22,Escape,Felony,1
872,22,Escape,Felony,0
872,22,Escape,Felony,1
873,22,Escape,Felony,0
873,22,Escape,Felony,1
874,22,Escape,Felony,0
874,22,Escape,Felony,1
875,22,Escape,Felony,0
875,22,Escape,Felony,1
876,63,Escape,Misdemeanor,0
876,63,Escape,Misdemeanor,1
880,7,Kidnapping,Felony,0
880,7,Kidnapping,Felony,1
881,7,Kidnapping,Felony,0
881,7,Kidnapping,Felony,1
882,7,Kidnapping,Felony,0
882,7,Kidnapping,Felony,1
883,7,Kidnapping,Felony,0
883,7,Kidnapping,Felony,1
884,7,Kidnapping,Felony,0
884,7,Kidnapping,Felony,1
890,23,Bookmaking,Felony,0
890,23,Bookmaking,Felony,1
891,7,Kidnapping,Felony,0
891,7,Kidnapping,Felony,1
900,25,Accessory,Felony,0
900,25,Accessory,Felony,1
901,25,Other Felony,Felony,0
901,25,Other Felony,Felony,1
905,25,Treason,Felony,0
905,25,Treason,Felony,1
910,25,Abortion,Felony,0
910,25,Abortion,Felony,1
911,25,Abortion,Felony,0
911,25,Abortion,Felony,1
920,24,Arson,Felony,0
920,24,Arson,Felony,1
921,24,Arson,Felony,0
921,24,Arson,Felony,1
922,24,Arson,Felony,0
922,24,Arson,Felony,1
923,24,Arson,Felony,0
923,24,Arson,Felony,1
924,24,Arson,Felony,0
924,24,Arson,Felony,1
925,24,Arson,Felony,0
925,24,Arson,Felony,1
926,64,Misd Arson,Misdemeanor,0
926,64,Misd Arson,Misdemeanor,1
927,24,Arson,Felony,0
927,24,Arson,Felony,1
929,64,Misd Arson,Misdemeanor,0
929,64,Misd Arson,Misdemeanor,1
930,25,Bigamy,Felony,0
930,25,Bigamy,Felony,1
940,25,Bribery,Felony,0
940,25,Bribery,Felony,1
941,25,Bribery,Felony,0
941,25,Bribery,Felony,1
942,25,Bribery,Felony,0
942,25,Bribery,Felony,1
943,25,Bribery,Felony,0
943,25,Bribery,Felony,1
944,25,Bribery,Felony,0
944,25,Bribery,Felony,1
945,25,Bribery,Felony,0
945,25,Bribery,Felony,1
946,60,Bribery,Misdemeanor,0
946,60,Bribery,Misdemeanor,1
950,25,Extort,Felony,0
950,25,Extort,Felony,1
960,25,Extort,Felony,0
960,25,Extort,Felony,1
961,25,Extort,Felony,0
961,25,Extort,Felony,1
966,60,Extort,Misdemeanor,0
966,60,Extort,Misdemeanor,1
970,25,Neglect,Felony,0
970,25,Neglect,Felony,1
971,25,Neglect,Felony,0
971,25,Neglect,Felony,1
976,56,Nonsupport,Misdemeanor,0
976,56,Nonsupport,Misdemeanor,1
977,60,Neglect,Misdemeanor,0
977,60,Neglect,Misdemeanor,1
980,25,Perjury,Felony,0
980,25,Perjury,Felony,1
981,25,Perjury,Felony,0
981,25,Perjury,Felony,1
985,25,Other Felony,Felony,0
985,25,Other Felony,Felony,1
986,60,Perjury,Misdemeanor,0
986,60,Perjury,Misdemeanor,1
990,25,Other Felony,Felony,0
990,25,Other Felony,Felony,1
991,25,Other Felony,Felony,0
991,25,Other Felony,Felony,1
992,25,Other Felony,Felony,0
992,25,Other Felony,Felony,1
993,25,Other Felony,Felony,0
993,25,Other Felony,Felony,1
994,25,Other Felony,Felony,0
994,25,Other Felony,Felony,1
995,25,Other Felony,Felony,0
995,25,Other Felony,Felony,1
998,25,Other Felony,Felony,0
998,25,Other Felony,Felony,1
000,Not Applicable,Unknown or Medical Assist,Unknown or Medical Assist,Not Applicable
