District,Representative,Party,Prior experience,Education,Assumed office,Residence,Born
Texas 27,"Farenthold, BlakeBlake Farenthold",,Republican,attorney,"University of Texas at Austin
 St. Mary's University School of Law",2011,Corpus Christi,1961
Texas 28,"Cuellar, HenryHenry Cuellar",,Democratic,"Texas House of Representatives, Texas Secretary of State","Edmund A. Walsh School of Foreign Service
 University of Texas at Austin",2005,Laredo,1955
Texas 29,"Green, GeneGene Green",,Democratic,"Texas House of Representatives, Texas Senate",University of Houston,1993,Houston,1947
Texas 30,"Johnson, EddieEddie Johnson",,Democratic,"Texas Senate, nurse","Saint Mary's College-Indiana
 Texas Christian University
 Southern Methodist University",1993,Dallas,1935
Texas 31,"Carter, JohnJohn Carter",,Republican,Texas state district judge,"Texas Tech University
 University of Texas at Austin",2003,Round Rock,1941
Texas 32,"Sessions, PetePete Sessions",,Republican,marketing executive,Southwestern University,1997,Dallas,1955
Texas 33,"Veasey, MarcMarc Veasey",,Democratic,Texas House of Representatives,Texas Wesleyan University,2013,Fort Worth,1971
Texas 34,"Vela Jr., FilemonFilemon Vela Jr.",,Democratic,Attorney,"Georgetown University
 University of Texas School of Law",2013,Brownsville,1963
Texas 35,"Doggett, LloydLloyd Doggett",,Democratic,"Texas Senate, Texas Supreme Court justice, college professor",University of Texas at Austin,1995,Austin,1946
Texas 36,"Babin, BrianBrian Babin",,Republican,"Lower Neches Valley Authority, Texas Historical Commission, Mayor of Woodville","Lamar University
 University of Texas Dental School",2015,Woodville,1948
Utah 1,"Bishop, RobRob Bishop",,Republican,"Speaker of the Utah House of Representatives, Chairman of the Utah Republican Party",University of Utah,2003,Brigham City,1951
Utah 2,"Stewart, ChrisChris Stewart",,Republican,"Author, businessman",Utah State University,2013,Farmington,1960
Utah 3,"Curtis, JohnJohn Curtis",,Republican,Mayor of Provo,Brigham Young University,2017*,Provo,1960
Utah 4,"Love, MiaMia Love",,Republican,Mayor of Saratoga Springs,University of Hartford,2015,Saratoga Springs,1975
Vermont At Large,"Welch, PeterPeter Welch",,Democratic,Vermont Senate President Pro Tempore,"College of the Holy Cross
 University of California, Berkeley",2007,Norwich,1947
Virginia 1,"Wittman, RobRob Wittman",,Republican,"Mayor of Montross, Westmoreland County Board of Supervisors, Virginia House of Delegates","Virginia Tech
 University of North Carolina
 Virginia Commonwealth University",2007*,Montross,1959
Virginia 2,"Taylor, ScottScott Taylor",,Republican,Virginia House of Delegates,Harvard University Extension School,2017,Virginia Beach,1979
Virginia 3,"Scott, RobertRobert Scott",,Democratic,"Virginia Senate, Virginia House of Delegates","Harvard University
 Boston College Law School",1993,Newport News,1947
Virginia 4,"McEachin, DonaldDonald McEachin",,Democratic,"Virginia Senate, Virginia House of Delegates","American University
 University of Virginia School of Law
 Virginia Union University",2017,Henrico County,1961
Virginia 5,"Garrett Jr., TomTom Garrett Jr.",,Republican,Virginia Senate,University of Richmond,2017,Buckingham County,1972
Virginia 6,"Goodlatte, BobBob Goodlatte",,Republican,Private legal practice,"Bates College
 Washington and Lee University",1993,Roanoke,1952
Virginia 7,"Brat, DaveDave Brat",,Republican,Economics professor at Randolph–Macon College,"Hope College
 Princeton Theological Seminary
 American University",2014*,Glen Allen,1964
Virginia 8,"Beyer, DonDon Beyer",,Democratic,"U.S. Ambassador to Switzerland and Liechtenstein, Lieutenant Governor of Virginia",Williams College,2015,Alexandria,1950
Virginia 9,"Griffith, MorganMorgan Griffith",,Republican,Majority Leader of the Virginia House of Delegates,"Emory and Henry College
 Washington and Lee University",2011,Salem,1958
Virginia 10,"Comstock, BarbaraBarbara Comstock",,Republican,Virginia House of Delegates,"Middlebury College
 Georgetown University Law Center",2015,McLean,1959
Virginia 11,"Connolly, GerryGerry Connolly",,Democratic,Chairman of the Fairfax County Board of Supervisors,"Maryknoll College (Illinois) (closed)
 Harvard University",2009,Fairfax,1950
Washington 1,"DelBene, SuzanSuzan DelBene",,Democratic,Washington Department of Revenue Director,"Reed College
 University of Washington",2012*,Medina,1962
Washington 2,"Larsen, RickRick Larsen",,Democratic,Snohomish County Council,"Pacific Lutheran University
 University of Minnesota",2001,Lake Stevens,1965
Washington 3,"Herrera Beutler, JaimeJaime Herrera Beutler",,Republican,Washington House of Representatives,University of Washington,2011,Camas,1978
Washington 4,"Newhouse, DanDan Newhouse",,Republican,Washington House of Representatives,Washington State University,2015,Sunnyside,1955
Washington 5,"McMorris Rodgers, CathyCathy McMorris Rodgers",,Republican,Washington House of Representatives,"Pensacola Christian College
 University of Washington",2005,Colville,1969
Washington 6,"Kilmer, DerekDerek Kilmer",,Democratic,Washington State Senate,"Princeton University
 University of Oxford",2013,Artondale,1974
Washington 7,"Jayapal, PramilaPramila Jayapal",,Democratic,Washington State Senate,"Georgetown University
 Northwestern University",2017,Seattle,1965
Washington 8,"Reichert, DaveDave Reichert",,Republican,King County Sheriff,Concordia College,2005,Auburn,1950
Washington 9,"Smith, AdamAdam Smith",,Democratic,Washington State Senate,"Fordham University
 University of Washington",1997,Bellevue,1965
Washington 10,"Heck, DennisDennis Heck",,Democratic,Washington House of Representatives,The Evergreen State College,2013,Olympia,1952
West Virginia 1,"McKinley, DavidDavid McKinley",,Republican,"West Virginia House of Delegates, businessman",Purdue University,2011,Wheeling,1947
West Virginia 2,"Mooney, AlexAlex Mooney",,Republican,Maryland Senate,Dartmouth College,2015,Charles Town,1971
West Virginia 3,"Jenkins, EvanEvan Jenkins",,Republican,"West Virginia Senate, West Virginia House of Delegates","University of Florida
 Cumberland School of Law",2015,Huntington,1960
Wisconsin 1,"Ryan, PaulPaul Ryan",,Republican,Legislative Director,Miami University,1999,Janesville,1970
Wisconsin 2,"Pocan, MarkMark Pocan",,Democratic,Wisconsin State Assembly,University of Wisconsin–Madison,2013,Madison,1964
Wisconsin 3,"Kind, RonRon Kind",,Democratic,County Prosecutor,"London School of Economics
 University of Minnesota",1997,La Crosse,1963
Wisconsin 4,"Moore, GwenGwen Moore",,Democratic,"Wisconsin State Senate, Wisconsin State Assembly",Marquette University,2005,Milwaukee,1951
Wisconsin 5,"Sensenbrenner, JimJim Sensenbrenner",,Republican,"Wisconsin State Senate, Wisconsin State Assembly","Stanford University
 University of Wisconsin",1979,Menomonee Falls,1943
Wisconsin 6,"Grothman, GlennGlenn Grothman",,Republican,"Wisconsin Senate, Wisconsin State Assembly","University of Wisconsin–Madison
 University of Wisconsin Law School",2015,Campbellsport,1955
Wisconsin 7,"Duffy, SeanSean Duffy",,Republican,Ashland County District Attorney,"St. Mary's University
 William Mitchell College of Law",2011,Wausau,1971
Wisconsin 8,"Gallagher, MikeMike Gallagher",,Republican,Political advisor,"Georgetown University
 Princeton University",2017,Green Bay,1984
Wyoming At Large,"Cheney, LizLiz Cheney",,Republican,Principal Deputy Assistant Secretary of State For Near Eastern Affairs,"Colorado College
 University of Chicago Law School",2017,Jackson,1966
