District,Representative,Party,Prior experience,Education,Assumed office,Residence,Born
Florida 17,"Rooney, TomTom Rooney",,Republican,"Criminal Prosecutor Florida Department of Justice, Attorney","Washington & Jefferson College
 University of Florida",2009,Okeechobee,1970
Florida 18,"Mast, BrianBrian Mast",,Republican,U.S. Army Soldier,Harvard Extension School,2017,Hutchinson Island,1980
Florida 19,"Rooney, FrancisFrancis Rooney",,Republican,United States Ambassador to the Holy See,Georgetown University,2017,Naples,1953
Florida 20,"Hastings, AlceeAlcee Hastings",,Democratic,Judge of the United States District Court for the Southern District of Florida,Fisk University,1993,Miramar,1936
Florida 21,"Frankel, LoisLois Frankel",,Democratic,"Mayor of West Palm Beach, Florida House of Representatives","Boston University
 Georgetown University Law Center",2013,West Palm Beach,1948
Florida 22,"Deutch, TedTed Deutch",,Democratic,Florida Senate,"University of Michigan
 University of Michigan Law School",2010*,Boca Raton,1966
Florida 23,"Wasserman Schultz, DebbieDebbie Wasserman Schultz",,Democratic,"Florida Senate, Florida House of Representatives, Chairperson of the Democratic National Committee",University of Florida,2005,Weston,1966
Florida 24,"Wilson, FredericaFrederica Wilson",,Democratic,"Florida Senate, Florida House of Representatives, Miami-Dade County Public Schools Board","Fisk University
 University of Miami",2011,Miami Gardens,1942
Florida 25,"Díaz-Balart, MarioMario Díaz-Balart",,Republican,"Florida Senate, Florida House of Representatives",University of South Florida,2003,Miami,1961
Florida 26,"Curbelo, CarlosCarlos Curbelo",,Republican,"Public administrator, Miami-Dade County Public Schools Board",University of Miami,2015,Kendall,1980
Florida 27,"Ros-Lehtinen, IleanaIleana Ros-Lehtinen",,Republican,"Florida Senate, Florida House of Representatives","Florida International University
 University of Miami",1989*,Miami,1952
Georgia 1,"Carter, BuddyBuddy Carter",,Republican,"Georgia State Senate, Georgia House of Representatives, Mayor of Pooler","Young Harris College
 University of Georgia",2015,Pooler,1957
Georgia 2,"Bishop, SanfordSanford Bishop",,Democratic,"Georgia State Senate, Georgia House of Representatives",Morehouse College,1993,Albany,1947
Georgia 3,"Ferguson, DrewDrew Ferguson",,Republican,"Mayor of West Point, Georgia","University of Georgia
 Medical College of Georgia",2017,West Point,1966
Georgia 4,"Johnson, HankHank Johnson",,Democratic,"DeKalb County, Georgia Commissioner, Associate Magistrate Judge",Clark Atlanta University,2007,Lithonia,1954
Georgia 5,"Lewis, JohnJohn Lewis",,Democratic,"Atlanta City Council, Chairman of the Student Nonviolent Coordinating Committee","American Baptist Theological Seminary
 Fisk University",1987,Atlanta,1940
Georgia 6,"Handel, KarenKaren Handel",,Republican,"businesswoman, non-profit executive, Secretary of State of Georgia","Prince George's Community College
 University of Maryland University College",2017*,Roswell,1962
Georgia 7,"Woodall, RobRob Woodall",,Republican,"Political aide, Attorney","Furman University
 University of Georgia",2011,Peachtree Corners,1970
Georgia 8,"Scott, AustinAustin Scott",,Republican,Georgia House of Representatives,University of Georgia,2011,Tifton,1969
Georgia 9,"Collins, DougDoug Collins",,Republican,Georgia House of Representatives,"North Georgia College
 New Orleans Baptist Theological Seminary",2013,Gainesville,1966
Georgia 10,"Hice, JodyJody Hice",,Republican,"Radio show host, Southern Baptist pastor","Asbury University
 Southwestern Baptist Theological Seminary
 Luther Rice Seminary",2015,Bethlehem,1960
Georgia 11,"Loudermilk, BarryBarry Loudermilk",,Republican,"Georgia State Senate, Georgia House of Representatives","U.S. Air Force Community College
 Wayland Baptist University",2015,Cassville,1963
Georgia 12,"Allen, Rick W.Rick W. Allen",,Republican,Businessman,Auburn University,2015,Augusta,1951
Georgia 13,"Scott, DavidDavid Scott",,Democratic,"Georgia State Senate, Georgia House of Representatives",Florida A&M University,2003,Atlanta,1945
Georgia 14,"Graves, TomTom Graves",,Republican,"Georgia House of Representatives,",University of Georgia,2010*,Ranger,1970
Hawaii 1,"Hanabusa, ColleenColleen Hanabusa",,Democratic,Hawaii Senate,University of Hawaii at Manoa,2016*,Honolulu,1951
Hawaii 2,"Gabbard, TulsiTulsi Gabbard",,Democratic,"Honolulu City Council, Hawaii House of Representatives","Hawaii Pacific University
 Officer Candidate School",2013,"West Oahu, Honolulu",1981
Idaho 1,"Labrador, RaúlRaúl Labrador",,Republican,Idaho House of Representatives,"Brigham Young University
 University of Washington",2011,Eagle,1967
Idaho 2,"Simpson, MikeMike Simpson",,Republican,"Speaker of the Idaho House of Representatives, Blackfoot, Idaho City Council",Utah State University,1999,Idaho Falls,1950
Illinois 1,"Rush, BobbyBobby Rush",,Democratic,Chicago City Council,"Roosevelt University
 University of Illinois
 McCormick Theological Seminary",1993,Englewood,1946
Illinois 2,"Kelly, RobinRobin Kelly",,Democratic,"Illinois House of Representatives, Chief of Staff to the Illinois Treasurer, Chief Administrative Officer to the Cook County President","Bradley University
 Northern Illinois University",2013*,Matteson,1956
Illinois 3,"Lipinski, DanDan Lipinski",,Democratic,Member of the University of Notre Dame and University of Tennessee Faculty,"Northwestern University
 Stanford University
 Duke University",2005,Western Springs,1966
Illinois 4,"Gutiérrez, LuisLuis Gutiérrez",,Democratic,Chicago City Council,Northeastern Illinois University,1993,Lincoln Park,1953
Illinois 5,"Quigley, MikeMike Quigley",,Democratic,Cook County Board of Commissioners,"Roosevelt University
 Loyola University Chicago School of Law
 University of Chicago",2009*,Lincoln Park,1958
Illinois 6,"Roskam, PeterPeter Roskam",,Republican,"Illinois Senate, Illinois House of Representatives","University of Illinois
 Chicago–Kent College of Law",2007,Arlington Heights,1961
Illinois 7,"Davis, Danny K.Danny K. Davis",,Democratic,"Chicago City Council, Cook County Board of Commissioners","University of Arkansas at Pine Bluff
 Chicago State University
 Union Institute and University",1997,Austin,1941
Illinois 8,"Krishnamoorthi, RajaRaja Krishnamoorthi",,Democratic,"Public Servant, Lawyer","Princeton University
 Harvard Law School",2017,Schaumburg,1973
Illinois 9,"Schakowsky, JanJan Schakowsky",,Democratic,Illinois House of Representatives,University of Illinois,1999,Evanston,1944
Illinois 10,"Schneider, BradBrad Schneider",,Democratic,U.S. House,Northwestern University,2017,Deerfield,1961
Illinois 11,"Foster, BillBill Foster",,Democratic,U.S. House,"University of Wisconsin–Madison
 Harvard University",2013,Naperville,1955
Illinois 12,"Bost, MikeMike Bost",,Republican,Illinois House of Representatives,University of Illinois,2015,Murphysboro,1960
Illinois 13,"Davis, RodneyRodney Davis",,Republican,Congressional Staffer,Millikin University,2013,Taylorville,1970
Illinois 14,"Hultgren, RandyRandy Hultgren",,Republican,"Illinois Senate, Illinois House of Representatives, DuPage County, Illinois Board of Commissioners","Bethel University
 Chicago-Kent College of Law",2011,Plano,1966
Illinois 15,"Shimkus, JohnJohn Shimkus",,Republican,"Madison County, Illinois Treasurer","United States Military Academy
 Southern Illinois University",1997,Collinsville,1958
Illinois 16,"Kinzinger, AdamAdam Kinzinger",,Republican,"McLean County, Illinois Board of Commissioners",Illinois State University,2011,Rockford,1978
Illinois 17,"Bustos, CheriCheri Bustos",,Democratic,East Moline City Council,"University of Maryland
 University of Illinois at Springfield",2013,East Moline,1961
Illinois 18,"LaHood, DarinDarin LaHood",,Republican,"Illinois Senate, Prosecutor U.S. Attorney's Office, Deputy Prosecutor Tazewell County, Illinois","John Marshall Law School
 Loras College",2015*,Dunlap,1968
Indiana 1,"Visclosky, PetePete Visclosky",,Democratic,"Attorney, Congressional aide","Indiana University Northwest
 University of Notre Dame
 Georgetown University",1985,Merrillville,1949
Indiana 2,"Walorski, JackieJackie Walorski",,Republican,Indiana House of Representatives,"Liberty Baptist College
 Taylor University",2013,Jimtown,1963
Indiana 3,"Banks, JimJim Banks",,Republican,Indiana Senate,"Indiana University Bloomington
 Grace College & Seminary",2017,Columbia City,1979
Indiana 4,"Rokita, ToddTodd Rokita",,Republican,Indiana Secretary of State,"Wabash College
 Indiana University Robert H. McKinney School of Law",2011,Brownsburg,1970
Indiana 5,"Brooks, SusanSusan Brooks",,Republican,"U.S. Attorney for Southern Indiana, Deputy Mayor of Indianapolis","Miami University
 Indiana University Robert H. McKinney School of Law",2013,Carmel,1960
Indiana 6,"Messer, LukeLuke Messer",,Republican,Indiana House of Representatives,"Wabash College
 Vanderbilt University Law School",2013,Shelbyville,1969
Indiana 7,"Carson, AndréAndré Carson",,Democratic,Indianapolis City-County Council,"Concordia University Wisconsin
 Indiana Wesleyan University",2008*,"Center Township, Marion County",1974
Indiana 8,"Bucshon, LarryLarry Bucshon",,Republican,Heart Surgeon,"University of Illinois at Urbana-Champaign
 University of Illinois Medical School",2011,Newburgh,1962
Indiana 9,"Hollingsworth, TreyTrey Hollingsworth",,Republican,CEO of Hollingsworth Capital Partners,"Georgetown University
 University of Pennsylvania",2017,Jeffersonville,1983
Iowa 1,"Blum, RodRod Blum",,Republican,Businessman,"Loras College
 University of Dubuque",2015,Dubuque,1955
Iowa 2,"Loebsack, DaveDave Loebsack",,Democratic,Professor,Iowa State University,2007,Iowa City,1952
Iowa 3,"Young, DavidDavid Young",,Republican,Congressional aide,Drake University,2015,Van Meter,1968
Iowa 4,"King, SteveSteve King",,Republican,Iowa Senate,Northwest Missouri State University,2003,Kiron,1949
Kansas 1,"Marshall, RogerRoger Marshall",,Republican,Obstetrician,"University of Kansas
 Kansas State University",2017,Great Bend,1960
Kansas 2,"Jenkins, LynnLynn Jenkins",,Republican,"Kansas State Treasurer, Kansas Senate, Kansas House of Representatives","Kansas State University
 Weber State College",2009,Topeka,1963
Kansas 3,"Yoder, KevinKevin Yoder",,Republican,Kansas House of Representatives,"University of Kansas
 University of Kansas Law School",2011,Overland Park,1976
Kansas 4,"Estes, RonRon Estes",,Republican,Kansas State Treasurer,Tennessee Technological University,2017*,Wichita,1956
Kentucky 1,"Comer, JamesJames Comer",,Republican,"Kentucky House of Representatives, Agriculture Commissioner of Kentucky",Western Kentucky University,2016*,Tompkinsville,1972
Kentucky 2,"Guthrie, BrettBrett Guthrie",,Republican,Kentucky Senate,"United States Military Academy
 Yale University",2009,Bowling Green,1964
Kentucky 3,"Yarmuth, JohnJohn Yarmuth",,Democratic,"Newspaper Publisher, Vice-President for University Relations University of Louisville",Yale University,2007,Louisville,1947
Kentucky 4,"Massie, ThomasThomas Massie",,Republican,"Judge-Executive of Lewis County, Kentucky",Massachusetts Institute of Technology,2012*,Garrison,1971
Kentucky 5,"Rogers, HalHal Rogers",,Republican,"Commonwealth's Attorney for Pulaski and Rockcastle County, Kentucky",University of Kentucky,1981,Mount Vernon,1937
Kentucky 6,"Barr, AndyAndy Barr",,Republican,Attorney,"University of Virginia
 University of Kentucky College of Law",2013,Lexington,1973
Louisiana 1,"Scalise, SteveSteve Scalise",,Republican,"Current House Majority Whip
 Louisiana State Senate, Louisiana House of Representatives",Louisiana State University,2008*,Jefferson,1965
Louisiana 2,"Richmond, CedricCedric Richmond",,Democratic,Louisiana House of Representatives,"Morehouse College
 Tulane School of Law",2011,New Orleans,1973
Louisiana 3,"Higgins, ClayClay Higgins",,Republican,"Reserve Deputy Marshal of Lafayette, Louisiana",Louisiana State University,2017,Port Barre,1961
Louisiana 4,"Johnson, MikeMike Johnson",,Republican,Louisiana House of Representatives,Louisiana State University,2017,Benton,1972
Louisiana 5,"Abraham, RalphRalph Abraham",,Republican,Physician,"Louisiana State University
 Louisiana State University School of Medicine",2015,Mangham,1954
Louisiana 6,"Graves, GarretGarret Graves",,Republican,Louisiana Coastal Protection and Restoration Authority,"University of Alabama
 Louisiana Tech University
 American University",2015,Baton Rouge,1972
